package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
OpenCL,Interface allowing R to use OpenCL,"This package provides an interface to OpenCL, allowing R to leverage computing power of GPUs and other HPC accelerator devices.",R (≥ 2.0.0),,,HighPerformanceComputing,0.1-3,BSD (see file LICENSE),
opencpu,The OpenCPU system for embedded scientific computing and reproducible research,"The OpenCPU system exposes an HTTP API for embedded scientific computing with R. This provides reliable and scalable foundations for integrating R based analysis and visualization modules into pipelines, web applications or big data infrastructures. The OpenCPU server can run either as a single-user development server within the interactive R session, or as a high performance multi-user cloud server that builds on Linux, Nginx and rApache. The current R package forms the core of the system. When loaded in R, it automatically initiates the single-user server and displays the web address in the console. For detailed information and documentation on the API, visit the OpenCPU website.",R (≥ 3.0.0),"RAppArmor, sendmailR, RProtoBuf (≥ 0.4)","parallel, tools, stats, evaluate (≥ 0.5.1), httpuv (≥ 1.3), knitr (≥ 1.4), jsonlite (≥ 0.9.7), devtools (≥ 1.5), httr (≥ 0.3), brew, pander",WebTechnologies,1.4.1,Apache License 2.0,
openintro,OpenIntro data sets and supplemental functions,"This package is a supplement to OpenIntro Statistics, which is a free textbook available at openintro.org (at cost paperbacks are also available for under $10 on Amazon). The package contains data sets used in the textbook along with custom plotting functions for reproducing book figures. Note that many functions and examples include color transparency. Some plotting elements may not show up properly (or at all) in some Windows versions.","graphics, grDevices, stats, utils, R (≥ 2.10)",,,,1.4,GPL-2 | GPL-3,
OpenMPController,Control number of OpenMP threads dynamically,"The OpenMPController package provides a function 'omp_set_num_threads()' to set the number of OpenMP threads to be used.  This may be useful, for example, when linking against a vendor optimised BLAS/LAPACK library (e.g. the AMD Core Math Library), since the defaults used by those libraries may not be highly performant.",,,,,0.1-2,GPL-2,
openNLP,Apache OpenNLP Tools Interface,"An interface to the Apache OpenNLP tools (version 1.5.3). The Apache OpenNLP library is a machine learning based toolkit for the processing of natural language text written in Java. It supports the most common NLP tasks, such as tokenization, sentence segmentation, part-of-speech tagging, named entity extraction, chunking, parsing, and coreference resolution. See <http://opennlp.apache.org/> for more information.",,,"NLP (≥ 0.1-2), openNLPdata (≥ 1.5.3-1), rJava (≥ 0.6-3)",NaturalLanguageProcessing,0.2-3,GPL-3,
openNLPdata,Apache OpenNLP Jars and Basic English Language Models,Apache OpenNLP jars and basic English language models.,,,rJava (≥ 0.6-3),,1.5.3-1,GPL-3,
OpenRepGrid,Tools to analyse repertory grid data,Tools to analyse repertory grid data,"methods, grid, colorspace, plyr, abind, rgl, GPArotation, psych, XML, tcltk, xlsx, pvclust",,,,0.1.8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OpenStreetMap,Access to open street map raster images,"Accesses high resolution raster maps. Dozens of road, satellite, and topographic map servers are directly supported, including CloudMade, Mapnik, Bing, stamen, and MapQuest. Maps can be plotted using either base graphics, or ggplot2.","rJava, methods, raster, rgdal, R (≥ 2.10.0)","ggplot2 (≥ 0.9.0), sp, colorspace, maptools",rJava,Spatial,0.3.1,GPL-2 | file LICENCE,
openxlsx,".xlsx reading, writing and editing","This package simplifies the creation of .xlsx files by providing a high level interface to writing, styling and editing worksheets. Through the use of Rcpp, read/write times are comparable to the xlsx and XLConnect packages with the added benefit of removing the dependency on Java.",,,"methods, Rcpp",,1.0.3,GPL-3,
operators,Additional binary operators for the R language,A set of operators for common tasks such as regex manipulation.,,RUnit,,,0.1-6,GPL-3,
operator.tools,Utilities for working with R's operators,Utilities for working with R's operators,utils,"operators, testthat",,,1.3.0,GPL-2 (see file LICENSE),
OPI,Open Perimetry Interface,"This package contains the current version of the Open Perimetry Interface (OPI), for simulating and controlling visual field machines using R. The OPI is a standard for interfacing with visual field testing machines (perimeters). It specifies basic functions that allow many visual field tests to be constructed. As of September 2013 it is fully implemented on the Octopus 900 and partially on the Heidelberg Edge Perimeter. Note to use these two machines you will need either the Rhep or OPIOctopus900 packages which require permission from the respective companies to obtain: see the OPI www site. It also has a cousin: the R package visualFields, which has tools for analysing and manipulating visual field data.","methods, rJava",OPIOctopus900,,,1.6,GPL-3,
opm,Analysing Phenotype Microarray and Growth Curve Data,"Tools for analysing OmniLog(R) and MicroStation(TM) phenotype microarray (PM) data as produced by the devices distributed by BIOLOG Inc. as well as similar kinds of data such as growth curves. Major facilities are plotting data, accurately estimating curve parameters, comparing and discretising data, creating phylogenetic formats and reports for taxonomic journals, drawing the PM analysis results in biochemical pathway graphs optionally including genome annotations, running multiple comparisons of means, easy interaction with powerful feature-selection approaches, integrating metadata, using the YAML format for the storage of data and metadata, batch conversion of large numbers of files, and database I/O. (The suggested mboostDevel is from R-Forge and not necessary.)",R (≥ 3.0.0),"optparse, gplots, opmdata (≥ 0.4.0), testthat, multcomp, KEGGREST, pathview, mboostDevel (≥ 2.3.0), gridExtra","methods, lattice, parallel, boot, hwriter, plotrix, Ckmeans.1d.dp, pkgutils (≥ 0.6.0), yaml (≥ 2.1.7), splines, mgcv, grofit (≥ 1.1), rjson (≥ 0.2.12), nlme, DBI",,1.1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
opmdata,Example data for analysing OmniLog(R) Phenotype Microarray data,"The package opm provides tools for analysing OmniLog(R) Phenotype Microarray (PM) data as produced by the device distributed by BIOLOG Inc. and similar kinds of data such as growth curves. The package opmdata contains the entire example data set from Vaas et al. (2012), which has been removed from opm due to its size, as well as the data sets from Wittmann et al. (2013) and Montero-Calasanz et al. (2013).","R (≥ 3.0.0), methods, opm (≥ 1.0.0)",,,,0.7.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
oposSOM,Package for analysis and visualization of metagenes,This package translates microarray expression data into metagenes and provides various visualizations and second level analyses.,R (≥ 2.11.0),,"som, fastICA, pixmap, igraph, biomaRt",,0.2-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ops,Optimal Power Space Transformation,Comparison of data by Pearson product-moment correlation coefficients is prone to outliers. The problem can be alleviated by normalizing data with outliers before computing the Pearson correlation coefficient. The sample provides such normalization by optimal power space transformation.,,,,,1.0,Apache License 2.0,
optAUC,Optimal Combinations of Diagnostic Tests Based on AUC,Searches for optimal linear combination of multiple diagnostic tests (markers) that maximizes the area under the receiver operating characteristic curve (AUC); performs an approximated cross-validation for estimating the AUC associated with the estimated coefficients.,"R (≥ 2.15.2), MASS",,,,1.0,GPL-2,
optBiomarker,Estimation of optimal number of biomarkers for two-group microarray based classifications at a given error tolerance level for various classification rules,Estimates optimal number of biomarkers for two-group classification based on microarray data,"R (≥ 2.10), rpanel, rgl",,"MASS, randomForest, e1071, ipred, msm, Matrix",,1.0-27,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
optextras,A set of tools to support optimization methods (function minimization with at most bounds and masks),"Tools to assist in safely applying user generated objective and derivative function to optimization programs. These are primarily function minimization methods with at most bounds and masks on the parameters. Provides a way to check the basic computation of objective functions that the user provides, along with proposed gradient and Hessian functions, as well as to wrap such functions to avoid failures when inadmissible parameters are provided. Check bounds and masks. Check scaling or optimality conditions. Perform an axial search to seek lower points on the objective function surface. Includes forward, central and backward gradient approximation codes.",numDeriv,,,,2013-10.27,GPL-2,
OptHedging,Estimation of value and hedging strategy of call and put options,"Estimation of value and hedging strategy of call and put options, based on optimal hedging and Monte Carlo method, from Chapter 3 of 'Statistical Methods for Financial Engineering', by Bruno Remillard, CRC Press, (2013).",,,,Finance,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OptimalCutpoints,Computing optimal cutpoints in diagnostic tests,"This package enables users to compute one or more optimal cutpoints for diagnostic tests or continuous markers. Various approaches for selecting optimal cutoffs have been implemented, including methods based on cost-benefit analysis and diagnostic test accuracy measures (Sensitivity/Specificity, Predictive Values and Diagnostic Likelihood Ratios). Numerical and graphical output for all methods is easily obtained.",,,,,1.1-2,GPL-2 | GPL-3 [expanded from: GPL],
optimbase,R port of the Scilab optimbase module,"Provides a set of commands to manage an abstract optimization method. The goal is to provide a building block for a large class of specialized optimization methods. This package manages: the number of variables, the minimum and maximum bounds, the number of non linear inequality constraints, the cost function, the logging system, various termination criteria, etc...","Matrix, methods",,,,1.0-9,CeCILL-2,
optimsimplex,R port of the Scilab optimsimplex module,"Provides a building block for optimization algorithms based on a simplex. The optimsimplex package may be used in the following optimization methods: the simplex method of Spendley et al., the method of Nelder and Mead, Box's algorithm for constrained optimization, the multi-dimensional search by Torczon, etc...","optimbase (≥ 1.0-8), methods",,,,1.0-5,CeCILL-2,
optimx,A Replacement and Extension of the optim() Function,"Provides a replacement and extension of the optim() function to unify and streamline optimization capabilities in R for smooth, possibly box constrained functions of several or many parameters. This is the CRAN version of the package.",numDeriv,"BB, ucminf, Rcgmin, Rvmmin, minqa, setRNG, dfoptim, svUnit",,Optimization,2013.8.6,GPL-2,
OptInterim,Optimal Two and Three Stage Designs for Single-Arm and Two-Arm Randomized Controlled Trials with a Long-Term Binary Endpoint,Optimal two and three stage designs monitoring time-to-event endpoints at a specified timepoint,"mvtnorm, clinfun, stats, graphics, R (≥ 2.14.1)",,,,3.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
optiRum,Miscellaneous functions for finance / credit risk analysts,"This packages fills the gaps credit analysts and loan modellers at Optimum Credit identify in the existing R code body. It allows for the production of documentation with less coding, replicates a number of Microsoft Excel functions useful for modelling loans (without rounding), and other helpful functions for producing charts and tables.  It also has some additional scales for use, including a GBP scale",R (≥ 3.0.2),"testthat, grid, ggplot2, ggthemes, knitr, AUC, scales, stringr, plyr, XML",data.table,,0.33,GPL-3,
optmatch,Functions for optimal matching,"Functions for optimal matching, including full matching","R (≥ 2.15.1), stats, methods, graphics, digest","boot, RItools, biglm, testthat, survival, brglm, arm",,"Optimization, SocialSciences",0.9-1,file LICENSE,
optparse,Command line option parser,"A command line parser inspired by Python's 'optparse' library to be used with Rscript to write ""#!"" shebang scripts that accept short and long flag/options.",R (≥ 2.9.0),"knitr, stringr, testthat","methods, getopt (≥ 1.19)",,1.2.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
optpart,Optimal partitioning of similarity relations,"The package contains a set of algorithms for creating partitions and coverings of objects largely based on operations on (dis)similarity relations (or matrices). There are several iterative re-assignment algorithms optimizing different goodness-of-clustering criteria.  In addition, there are covering algorithms 'clique' which derives maximal cliques, and 'maxpact' which creates a covering of maximally compact sets. Graphical analyses and conversion routines are also included.","cluster, labdsv, MASS, plotrix",tree,,Cluster,2.1-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
optR,Optimization Toolbox for solving linear systems,"The optR function provides an option to solve the linear system using numeric and non-meric approach. The current packages supports Gauss Elimination, LU decomposition, Gauss-Sideil, and CGM methods to solve equations having relationships of Ax=b form. The pacakge can be used to build linear and non-linear models by defining them in linear system.",,,,,1.0.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ora,Convenient Tools for Working with Oracle Databases,Easy-to-use functions to explore Oracle databases and import data into R. User interface for the ROracle package.,"DBI, ROracle",,,,2.0-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
orca,Orca: Counting graphlet orbits in sparse graphs,Implements orbit counting using a fast combinatorial approach,R (≥ 3.1),graph,,,1.0,LGPL-3,
orclus,ORCLUS subspace clustering,Functions to perform subspace clustering and classification.,,,,,0.2-5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ORCME,Order Restricted Clustering for Microarray Experiments,This package provides clustering of genes with similar dose response (or time course) profiles. It implements the method described by Lin et al. (2012).,R (≥ 2.10),,,,1.2.1,GPL-3,
orcutt,Estimate procedure in case of first order autocorrelation,This package has been implemented to solve first order autocorrelation problems using an iterative method. This procedure estimates both autocorrelation and beta coefficients recursively until we reach the convergence (8th decimal). The residuals are computed after estimating Beta using EGLS approach and Rho is estimated using the previous residuals.,,,,,1.1,GPL-2,
ordBTL,Modelling comparison data with ordinal response,"This package extends the Bradley-Terry-Luce model for fitting pair comparison models with an ordinal response. It is also possible to incorporate an order effect, or, equivalently, an effect for the home advantage.","caret, VGAM, wikibooks","BradleyTerry2, prefmod, psychotree, psychotools, psychomix",,,0.7,GPL-3,
orddom,Ordinal Dominance Statistics,"Computes ordinal, statistics and effect sizes as an alternative to mean comparison: Cliff's delta or success rate difference (SRD), Vargha and Delaney's A or the Area Under a Receiver Operating Characteristic Curve (AUC), the discrete type of McGraw & Wong's Common Language Effect Size (CLES) or Grissom & Kim's Probability of Superiority (PS), and the Number needed to treat (NNT) effect size. Moreover, comparisons to Cohen's d are offered based on Huberty & Lowman's Percentage of Group (Non-)Overlap considerations.",psych,,,,3.1,GPL-2,
ORDER2PARENT,Estimate parent distributions with data of several order statistics,This package uses B-spline based nonparametric smooth estimators to estimate parent distributions given observations on multiple order statistics.,"splines, Matrix",,,,1.0,GPL-2,
orderbook,Orderbook visualization/Charting software,Functions for visualizing and retrieving data for the state of an orderbook at a particular period in time.,"R (≥ 2.15.0), methods, graphics, lattice, hash, grid",,,,1.03,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OrdFacReg,"Least squares, logistic, and Cox-regression with ordered predictors","In biomedical studies, researchers are often interested in assessing the association between one or more ordinal explanatory variables and an outcome variable, at the same time adjusting for covariates of any type. The outcome variable may be continuous, binary, or represent censored survival times. In the absence of a precise knowledge of the response function, using monotonicity constraints on the ordinal variables improves efficiency in estimating parameters, especially when sample sizes are small. This package implements an active set algorithm that efficiently computes such estimators.","eha, MASS",,,Survival,1.0.4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ordinal,Regression Models for Ordinal Data,"This package implements cumulative link (mixed) models also known as ordered regression models, proportional odds models, proportional hazards models for grouped survival times and ordered logit/probit/... models. Estimation is via maximum likelihood and mixed models are fitted with the Laplace approximation and adaptive Gauss-Hermite quadrature. Multiple random effect terms are allowed and they may be nested, crossed or partially nested/crossed. Restrictions of symmetry and equidistance can be imposed on the thresholds (cut-points). Standard model methods are available (summary, anova, drop-methods, step, confint, predict etc.) in addition to profile methods and slice methods for visualizing the likelihood function and checking convergence.",R (≥ 2.13.0),"lme4, nnet, xtable","ucminf, MASS, Matrix","Econometrics, Psychometrics",2013.9-30,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OrdinalLogisticBiplot,Biplot representations of ordinal variables,"Analysis of a matrix of polytomous items using Ordinal Logistic Biplots (OLB) The OLB procedure extends the binary logistic biplot to ordinal (polytomous) data. The  individuals are represented as points on a plane and the variables are represented as lines rather than vectors as in a classical or binary biplot, specifying the points for each of the categories of the variable. The set of prediction regions is established by stripes perpendicular to the line between the category points, in such a way that the prediction for each individual is given by its projection into the line of the variable.","R (≥ 2.15.1), mirt, MASS, NominalLogisticBiplot",,,,0.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OrdMonReg,Compute least squares estimates of one bounded or two ordered isotonic regression curves,"We consider the problem of estimating two isotonic regression curves g1* and g2* under the constraint that they are ordered, i.e. g1* <= g2*. Given two sets of n data points y_1, ..., y_n and z_1, ..., z_n that are observed at (the same) deterministic design points x_1, ..., x_n, the estimates are obtained by minimizing the Least Squares criterion L(a, b) = sum_{i=1}^n (y_i - a_i)^2 w1(x_i) + sum_{i=1}^n (z_i - b_i)^2 w2(x_i) over the class of pairs of vectors (a, b) such that a and b are isotonic and a_i <= b_i for all i = 1, ..., n. We offer two different approaches to compute the estimates: a projected subgradient algorithm where the projection is calculated using a PAVA as well as Dykstra's cyclical projection algorithm.",,,,,1.0.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OrdNor,Concurrent generation of ordinal and normal data with given correlation matrix and marginal distributions,The package implements a procedure for generating samples from a mixed distribution of ordinal and normal random variables with pre-specified correlation matrix and marginal distributions.,"mvtnorm, corpcor, Matrix, GenOrd",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL],
ordPens,Selection and/or Smoothing of Ordinal Predictors,Selection and/or smoothing of ordinally scaled independent variables using a group lasso or generalized ridge penalty,"grplasso, mgcv, RLRsim",,,,0.2-1,GPL-2,
OrgMassSpecR,Organic Mass Spectrometry,Organic/biological mass spectrometry data analysis.,R (≥ 3.0.0),"lattice, knitr",,ChemPhys,0.4-3,BSD_2_clause + file LICENSE,
ORIClust,Order-restricted Information Criterion-based Clustering Algorithm,ORIClust is a user-friendly R-based software package for gene clustering. Clusters are given by genes matched to prespecified profiles across various ordered treatment groups. It is particularly useful for analyzing data obtained from short time-course or dose-response microarray experiments.,,,,Cluster,1.0-1,GPL-2,
orientlib,Support for orientation data,"Representations, conversions and display of orientation SO(3) data.  See the orientlib help topic for details.","R (≥ 2.13.0), methods","rgl, scatterplot3d",,,0.10.3,GPL-2 | GPL-3 [expanded from: GPL],
orloca,The package deals with Operations Research LOCational Analysis models,"This version of the package deals with the min-sum location problem, also known as Fermat–Weber problem.  The min-sum location problem search for a point such that the weighted sum of the distances to the demand points are minimized.",methods,"grDevices, graphics, png, snow, ucminf",,HighPerformanceComputing,4.1,GPL (≥ 3),
orloca.es,Spanish version of orloca package,"Version espanola del paquete orloca que trata el problema de localizacion min-sum, tambien conocido como problema de Fermat–Weber. El problema de localizacion min-sum busca un punto tal que la suma ponderada de las distancias a los puntos de demanda sea minima.",orloca (≥ 4.1),,,,4.1,GPL (≥ 3),
ORMDR,ORMDR,Odds ratio based multifactor-dimensionality reduction method for detecting gene-gene interactions,,,,,1.3-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
oro.dicom,Rigorous - DICOM Input / Output,"Data input/output functions for data that conform to the Digital Imaging and Communications in Medicine (DICOM) standard, part of the Rigorous Analytics bundle.",R (≥ 2.14.0),hwriter,"oro.nifti (≥ 0.3.9), utils",MedicalImaging,0.4.1,BSD_3_clause + file LICENSE,
oro.nifti,Rigorous - NIfTI+ANALYZE+AFNI Input / Output,"Functions for the input/output and visualization of medical imaging data that follow either the ANALYZE, NIfTI or AFNI formats.  This package is part of the Rigorous Analytics bundle.",R (≥ 2.14.0),XML,"bitops, splines, graphics, grDevices, methods, utils",MedicalImaging,0.4.0,BSD_3_clause + file LICENSE,fmri
oro.pet,Rigorous - Positron Emission Tomography,Image analysis techniques for positron emission tomography (PET) that form part of the Rigorous Analytics bundle.,"R (≥ 2.14.0), grDevices, methods, oro.nifti (≥ 0.2.9), utils","minpack.lm, msm, oro.dicom",,,0.2.1,BSD,
orQA,Order Restricted Assessment Of Microarray Titration Experiments,"Assess repeatability, accuracy and corss-platform agreement of titration microarray data based on order restricted inference procedures","Rcpp (≥ 0.8.9), gtools (≥ 2.6.1), genefilter (≥ 1.24.3), nlme (≥ 3.1-96)",,,,0.2.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
orsk,Converting Odds Ratio to Relative Risk in Cohort Studies with Partial Data Information,Converting the Odds Ratio to the Relative Risk in Cohort Studies with Partial Data Information,,setRNG,"BB, BHH2",,1.0-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
orthogonalsplinebasis,Orthogonal Bspline Basis Functions,"Represents the basis functions for Bsplines in a simple matrix formulation that facilitates, taking integrals, derivatives, and orthogonalizing the basis functions.","methods, stats, graphics",,,,0.1.5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
orthopolynom,Collection of functions for orthogonal and orthonormal polynomials,"A collection of functions to construct sets of orthogonal polynomials and their recurrence relations. Additional functions are provided to calculate the derivative, integral, value and roots of lists of polynomial objects.","R (≥ 2.0.1), polynom",,,NumericalMathematics,1.0-5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
osDesign,Design and analysis of observational studies,"The osDesign serves for planning an observational study. Currently, functionality is focused on the two-phase and case-control designs. Functions in this packages provides Monte Carlo based evaluation of operating characteristics such as powers for estimators of the components of a logistic regression model.",R (≥ 2.10),,,ExperimentalDesign,1.6,GPL (≥ 3),
osmar,OpenStreetMap and R,"This package provides infrastructure to access OpenStreetMap data from different sources, to work with the data in common R manner, and to convert data into available infrastructure provided by existing R packages (e.g., into sp and igraph objects).","R (≥ 2.10), methods, XML, RCurl, geosphere","igraph, sp (≥ 0.9-93)",,"Spatial, WebTechnologies",1.1-7,GPL-2,
ouch,Ornstein-Uhlenbeck models for phylogenetic comparative hypotheses,Fit and compare Ornstein-Uhlenbeck models for evolution along a phylogenetic tree.,"R (≥ 2.9.1), methods, stats, graphics, subplex",ape,,"Environmetrics, Genetics, Phylogenetics",2.8-4,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
outbreaker,Bayesian reconstruction of disease outbreaks by combining epidemiologic and genomic data,Bayesian reconstruction of disease outbreaks using epidemiological and genetic information.,R (≥ 3.0.0),EpiEstim,"utils, ape, igraph, adegenet, parallel",,1.1-3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OutbreakTools,basic tools for the analysis of disease outbreaks,basic tools for the analysis of disease outbreaks.,"R (≥ 3.0.0), methods, ggplot2, network, knitr",EpiEstim,"utils, RColorBrewer, ape, reshape2, sna, plyr, ggmap, scales, rjson, networkDynamic",,0.1-0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OutlierDC,Outlier Detection using quantile regression for Censored Data,This package provides three algorithms to detect outlying observations for censored survival data.,"R (≥ 3.0.0), methods, survival, quantreg, Formula",,,"Robust, Survival",0.3-0,GPL-3,
OutlierDM,Outlier detection for replicated high-throughput data,Detecting outlying observations for replicated high-throughput high-dimensional data based on a MA plot with quantile regression approach.,"R (≥ 3.0.0), quantreg, MatrixModels, outliers, pcaPP",,"methods, graphics",Robust,1.0-0,GPL-3,
outliers,Tests for outliers,A collection of some tests commonly used for identifying outliers.,R (≥ 2.0),,,,0.14,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
OUwie,Analysis of evolutionary rates in an OU framework,Calculates and compares rate differences of continuous character evolution under Brownian motion and a new set of Ornstein-Uhlenbeck-based Hansen models that allow the strength of selection and stochastic motion to vary across selective regimes.,"ape, nloptr",,"numDeriv, corpcor, lattice, grDevices, phytools, phangorn",Phylogenetics,1.42,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
overlap,Estimates of coefficient of overlapping for animal activity patterns,Provides functions to fit kernel density functions to data on temporal activity patterns of animals; estimate coefficients of overlapping of densities for two species; and calculate bootstrap estimates of confidence intervals.,,,,,0.2.2,GPL (≥ 3),
oz,Plot the Australian coastline and states,Functions for plotting Australia's coastline and state boundaries.,,,graphics,,1.0-20,GPL-2,
p2distance,Welfare's Synthetic Indicator,"The welfare's synthetic indicator provides an ideal tool for measuring multi-dimensional concepts such as welfare, development, living standards, etc. It enables information from the various indicators to be aggregated into a single synthetic measure.",,,,,1.0.1,GPL-2 | GPL-3 [expanded from: GPL],
p3state.msm,Analyzing survival data,Analyzing survival data from illness-death model,"R (≥ 2.8.1), survival, base",,,Survival,1.3,GPL-2 | GPL-3 [expanded from: GPL],
pa,Performance Attribution for Equity Portfolios,A package that provides tools for conducting performance attribution for equity portfolios. The package uses two methods: the Brinson method and a regression-based analysis.,"grid, R (≥ 2.10)",,"ggplot2, methods",Finance,1.2-1,GPL-2,
pacbpred,PAC-Bayesian Estimation and Prediction in Sparse Additive Models,"This package is intended to perform estimation and prediction in high-dimensional additive models, using a sparse PAC-Bayesian point of view and a MCMC algorithm. The method is fully described in Guedj and Alquier (2013), 'PAC-Bayesian Estimation and Prediction in Sparse Additive Models', Electronic Journal of Statistics, 7, 264–291.",,,,Bayesian,0.92.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
pack,Convert values to/from raw vectors,Functions to easily convert data to binary formats other programs/machines can understand.,,,,,0.1-1,GPL-3,
packClassic,Toy example of Pack Classic,"This package comes to illustrate the book ""Petit Manuel de Programmation Orientee Objet sous R""",graphics,,,,0.5.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2.0)],
packdep,Mapping dependencies among R packages,packdep elucidates the dependencies between user-contributed R packages and identifies key packages according to social network analysis metrics.,"R (≥ 2.9.0), igraph (≥ 0.5.2), utils",Rgraphviz (≥ 1.20.3),,,0.3.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
packHV,A few useful functions for statisticians,"Various useful functions for statisticians: describe data, plot Kaplan-Meier curves with numbers of subjects at risk, compare data sets, display spaghetti-plot, build multi-contingency tables...",survival,,WriteXLS (≥ 2.3.0),,1.8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
packS4,Toy example of S4 package,"This package comes to illustrate the book ""Petit Manuel de Programmation Orientee Objet sous R""","methods, graphics",,,,0.9.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
pacose,"iPACOSE, PACOSE and other methods for covariance selection","Implementation of iPACOSE, PACOSE and of various methods for the estimation of covariance/precision matrices under the constraint that some partial correlation coefficients are equal to zero.","ggm, igraph, ppls, MASS, corpcor, glmnet, mvtnorm, lcd",,,,1.4,GPL-2 | GPL-3 [expanded from: GPL],
paf,Attributable Fraction Function for Censored Survival Data,"Calculate unadjusted/adjusted attributable fraction function of a set of covariates for a censored survival outcome from a Cox model using the method proposed by Chen, Lin and Zeng (Biometrika 97, 713-726., 2010).","R (≥ 2.13.0), survival",,,,1.0,GPL-2,
PAGI,The package can identify the dysregulated KEGG pathways based on global influence from the internal effect of pathways and crosstalk between pathways,The package can identify the dysregulated KEGG pathways based on global influence from the internal effect of pathways and crosstalk between pathways. (1) The PAGI package can prioritize the pathways associated with two biological states by statistical significance or FDR. (2) The PAGI package can evaluated the global influence factor (GIF) score in the global gene-gene network constructed based on the relationships of genes extracted from each pathway in KEGG database and the overlapped genes between pathways.,"R (≥ 2.15.1), igraph",Matrix,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
PAGWAS,Pathway analysis methods for genomewide association data,"The two Bayesian hierarchical pathway analysis methods Sparse normal/Adaptive lasso and Normal/Bayes factors proposed by Evangelou et al (2013) are implemented. Further, the well-known Fisher's method is implemented","lars, doMC, mnormt",,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
pairedCI,Confidence intervals for the ratio of locations and for the ratio of scales of two paired samples,The package contains two functions: paired.Loc and paired.Scale. A parametric and nonparametric confidence interval can be computed for the ratio of locations (paired.Loc) and the ratio of scales (paired.Scale). The samples must be paired and expected values must be positive.,,,,,0.5-4,GPL-2,
PairedData,Paired Data Analysis,"This package provides many datasets and a set of graphics (based on ggplot2), statistics, effect sizes and hypothesis tests for analysing paired data with S4 class.","methods, graphics, MASS, gld, mvtnorm, lattice, ggplot2",,,,1.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
pairheatmap,A tool for comparing heatmaps,"A tool to compare two heatmaps and discover patterns within and across groups. In the context of biology, group can be defined based on gene ontology.","R (≥ 2.10.0), grid",,,,1.0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
PairViz,Visualization using Eulerian tours and Hamiltonian decompositions,Eulerian tours and Hamiltonian decompositions of complete graphs are used to ameliorate order effects in statistical graphics.,"TSP, gtools, graph, methods",,,,1.2.1,GPL-2,
pairwise,Rasch Model Parameters by Pairwise Algorithm,"The package pairwise offers functions for the explicit calculation – not estimation! – of the Rasch item parameters for dichotomous and polytomous item responses, using a pairwise comparison approach. Person parameters (WLE) are calculated according to Warm's weighted likelihood approach.",R (≥ 2.10.1),psych,,,0.2.4,GPL-3,
pairwiseCI,Confidence intervals for two sample comparisons,"Calculation of the parametric, nonparametric confidence intervals for the difference or ratio of location parameters, nonparametric confidence interval for the Behrens-Fisher problem and for the difference, ratio and odds-ratio of binomial proportions for comparison of independent samples. The package provides common wrapper functions to split data sets and apply confidence intervals or tests to these subsets. A by statement allows calculation of CI separately for the levels of further factors. CI are not adjusted for multiplicity.",MCPAN,,"coin, boot, mratios, binMto, MASS",,0.1-22,GPL-2,
